brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628585564,1376774,"Portátil - HP 255 G6, 15.6 Pulgadas, AMD E2-9000e, 4 GB RAM, 500GB HDD, 15.6 Pulgadas",259.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0193015050846,1427677,"Portátil - HP 15-DB0007NS, 15.6 Pulgadas, AMD A6-9225 (2 x 2.6 GHz), 8 GB RAM, 1 TB, AMD Radeon R4",399.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0193015050228,1436919,"Portátil - HP Notebook 15-da001 1ns, RAM 8 GB, HDD 1 TB, Intel Celeron N4000, Hasta 2.6 GHz, Blanco",349.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900935523,1433371,"Portátil - Asus F540LA-DM1069T, 15.6"" FHD, Intel® Core™ i3-5, 4GB RAM, 1T, Intel® HD Graphics 5500",429.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192651695589,1428967,LENOVO 330-15IKBR I5-8250U/8/256/530 2GB/W10,649.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883586603,1394714,A315-21-62T0 15/A6-9220/8/128/UMA/W10,399.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628585977,1387647,"Portátil - HP 255 G6, AMD E2-9000e, 4 GB RAM, 1TB HDD, 15.6 Pulgadas",292.0
HUAWEI,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,6901443219933,1403311,"Portátil - Huawei Matebook D 2018, 15.6&#39;&#39;, Full HD, Intel® Core i5-8250U, 8 GB RAM, 256",799.0
HP,Informática y telefonía,Portátiles,"Portátiles de menos de 14""",21.0,InStock,2.99,Informática,0193015050334,1429993,"Portátil - HP 14-CE0006NS, 14 Pulgadas, Intel Core i5-8250U, 256 GB, 8 GB RAM, NVIDIA GeForce MX130",799.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900775891,1383331,"Portátil - Asus D541NA-GQ263, 15.6, HD, Intel® Celeron® N3350, 4GB de RAM, 500GB HDD, Sin",339.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628585885,1384487,"Portátil - HP 250 G6, 15.6"", i3-6006U, 8GB RAM, 128GB SSD, Gráficos Intel® HD 520, W10 Home",465.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158968087,1409173,"Portátil - Lenovo Ideapad 320-15IKB, 15.6"", HD, Intel® Core I5-8250U, RAM 8 GB, 128 GB SSD, Gris",602.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900855593,1383333,"Portátil - Asus D540YA-XO540T, 15.6"", HD, AMD® Dual-Core E1-6010, 4GB RAM, 1TB, Plata degradado",269.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628609451,1392027,"Portátil - HP 250G6 1XN28EA, 15.6"", I3-6006U, 4GB RAM, 500 GB HDD, W10, Negro",392.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017058803,1435830,"Portátil gaming - ASUS FX504GD-DM364T I7-8750H, 15.6"", Intel Core i7-8750H, 16 GB, 128 GB SSD + 1 TB",1149.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158154657,1401132,"Portátil - Lenovo Ideapad 320-15AST, 15.6"" HD, AMD E2-9000, 4 GB RAM, 500 GB HDD, AMD Radeon R2,",278.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158613574,1426407,"Portátil - Lenovo ideapad 320-15IKB, 15.6"", i7-8550U, 8 GB RAM, 1TB HDD, Gris platino",699.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192651536103,1427754,330-15IKBR 15/I5-8250U/4GB/128SSD/UMA/W10,519.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628606849,1380609,"Portátil - HP 250 G6, 15.6"", i3-6006U, 8GB RAM, 1TB HDD, W10",451.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190781259718,1405436,"Portátil - HP Notebook 15-BA039NS, 15.6"", AMD A10-9600P, 8 GB, 1 TB, AMD Radeon R7 4GB, Plata",619.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628585908,1392028,"Portátil - HP 250G6 1WY88EA, 15.6"", I3-6006U, 4GB RAM, 1TB HDD, W10, Negro",408.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883806107,1427351,"Portátil - Acer Aspire 3, A315-33-C8M1, N3060, 15.6"", 4GB, 128GB, W10, Negro",299.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158164571,1433936,Y520-15IKBN I5-7300HQ/8/1/1050 4GB/W10,799.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017036481,1436885,"Portátil - Asus K540LA-XX1313T, 15.6"", i3-5005U, IntelHD Graphics 5500, 4GB, 1TB, Oro y Negro",409.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545103619,1405421,"Portátil - HP 255 G6, 15.6"", HD, AMD E2-9000e, 4 GB RAM, 500 GB HDD, Freedos, Negro",259.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628600861,1380610,"Portátil - HP 250 G6, 15.6"" HD, i3-6006U, RAM 8GB, 256GB SSD, Negro",519.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545289702,1417945,HP 15-BW073NS 15/A6-9220/4GB/128SSD/W10/AZUL,369.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545214193,1405423,"Portátil - HP 250 G6, 15.6"", Intel® Core i5-7200U, 4GB RAM, 256GB SSD, AMD Radeon 520, FreeDos,",609.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628127658,1418796,HP 15-BS006NS 15/I3-6006U/4GB/500GB/W10,376.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628143535,1418798,HP 15-BS001NS 15/N3060/4GB/500GB/W10,289.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545154345,1405432,"Portátil - HP Notebook 15-BW066NS, 15.6"", AMD A9-9420, 8 GB RAM, 1 TB, AMD Radeon 520, Windows 10,",490.0
