brand,category,dimension10,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
HUAWEI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6901443231041,1424162,HUAWEI Y5 (18) 5.45P/4G/4N/16GB/B,109.0
HUAWEI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6901443210831,1391164,"Móvil - Huawei P Smart, 5.65"", Full HD+, Kirin 659, 3 GB RAM, 32 GB, 13 MP + 2 MP, Negro",199.0
SAMSUNG,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,8801643330118,1406784,"Móvil - Samsung Galaxy A6+, 6"", FHD+, Octa-Core, 3 GB RAM, 32 GB, Dual 16 MP + 5 MP, Lila",247.0
SAMSUNG,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,8801643330552,1406783,"Móvil - Samsung Galaxy A6+, 6"", FHD+, Octa-Core, 3 GB RAM, 32 GB, Dual 16 MP + 5 MP, Negro",247.0
SAMSUNG,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,8801643294328,1406845,"Móvil - Samsung Galaxy J6, 5.6"", HD+, 3 GB RAM, 32 GB, Octa-Core, Red 4G, Dorado",171.0
XIAOMI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,8436575530918,1414005,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 3 GB RAM, 13 MP, Memoria 32 GB, Dual SIM, Negro",179.0
XIAOMI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6941059609742,1427281,"Móvil - Xiaomi MI A2, 5.99"", 4 GB RAM, 32 GB, Octa-Core Snapdragon 660, Dual SIM, Negro",233.0
HUAWEI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6901443199785,1381679,"Móvil - Huawei Mate 10 Lite, 5.9"", HD, Kirin 659, 64 GB, 4 GB RAM, 16 MP + 2 MP, Negro",249.0
HUAWEI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6901443158102,1354092,"Móvil - Huawei P8 Lite 2017, 5.2"", Full HD, Kirin 655, 3 GB RAM, 16 GB, 4G, 12 MP, Negro",169.0
HUAWEI,Informática y telefonía,Smartphones,21.0,InStock,1.99,Móviles y smartphones,6901443199778,1381675,"HUAWEI Móvil - Huawei Mate 10 Lite, 5.9"", HD, Kirin 659, 64 GB, 4 GB RAM, 16 MP + 2 MP, Dorado",230.0
